ACTION_OCCURRENCE_ID|ADDS_TO_BUDGET|ASSIGN_WORK_MEASURE_ID|ASSIGNMENT_ID|BUSINESS_GROUP_ID|EFFECTIVE_START_DATE|EFFECTIVE_END_DATE|UNIT|VALUE|FT_ALTERNATE_REC|FT_ALTERNATE_KEY
|Y|ASG_FTE_PKTG318|ASSIGKTG318|188772AEC11AAD11E053A647660A0CF2|2000-08-08|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG319|ASSIGKTG319|188772AEC11AAD11E053A647660A0CF2|2000-08-14|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG320|ASSIGKTG320|188772AEC11AAD11E053A647660A0CF2|2000-08-28|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG321|ASSIGKTG321|188772AEC11AAD11E053A647660A0CF2|2000-08-28|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG322|ASSIGKTG322|188772AEC11AAD11E053A647660A0CF2|2000-09-18|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG323|ASSIGKTG323|188772AEC11AAD11E053A647660A0CF2|2000-09-25|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG324|ASSIGKTG324|188772AEC11AAD11E053A647660A0CF2|2000-10-02|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG325|ASSIGKTG325|188772AEC11AAD11E053A647660A0CF2|2000-10-03|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG327|ASSIGKTG327|188772AEC11AAD11E053A647660A0CF2|2000-10-24|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG328|ASSIGKTG328|188772AEC11AAD11E053A647660A0CF2|2000-11-01|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG329|ASSIGKTG329|188772AEC11AAD11E053A647660A0CF2|2000-11-01|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG330|ASSIGKTG330|188772AEC11AAD11E053A647660A0CF2|2000-11-22|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG332|ASSIGKTG332|188772AEC11AAD11E053A647660A0CF2|2000-12-01|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG334|ASSIGKTG334|188772AEC11AAD11E053A647660A0CF2|2000-12-01|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG335|ASSIGKTG335|188772AEC11AAD11E053A647660A0CF2|2000-12-01|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG333|ASSIGKTG333|188772AEC11AAD11E053A647660A0CF2|2000-12-07|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG336|ASSIGKTG336|188772AEC11AAD11E053A647660A0CF2|2000-12-11|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG337|ASSIGKTG337|188772AEC11AAD11E053A647660A0CF2|2000-12-11|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG338|ASSIGKTG338|188772AEC11AAD11E053A647660A0CF2|2000-12-12|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG339|ASSIGKTG339|188772AEC11AAD11E053A647660A0CF2|2000-12-18|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG340|ASSIGKTG340|188772AEC11AAD11E053A647660A0CF2|2001-01-03|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG341|ASSIGKTG341|188772AEC11AAD11E053A647660A0CF2|2001-01-08|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG342|ASSIGKTG342|188772AEC11AAD11E053A647660A0CF2|2001-01-08|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG343|ASSIGKTG343|188772AEC11AAD11E053A647660A0CF2|2001-01-11|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG344|ASSIGKTG344|188772AEC11AAD11E053A647660A0CF2|2001-01-17|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG345|ASSIGKTG345|188772AEC11AAD11E053A647660A0CF2|2001-01-18|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG346|ASSIGKTG346|188772AEC11AAD11E053A647660A0CF2|2001-01-25|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG347|ASSIGKTG347|188772AEC11AAD11E053A647660A0CF2|2001-01-29|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG348|ASSIGKTG348|188772AEC11AAD11E053A647660A0CF2|2001-02-08|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG352|ASSIGKTG352|188772AEC11AAD11E053A647660A0CF2|2001-02-08|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG350|ASSIGKTG350|188772AEC11AAD11E053A647660A0CF2|2001-02-14|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG349|ASSIGKTG349|188772AEC11AAD11E053A647660A0CF2|2001-02-16|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG351|ASSIGKTG351|188772AEC11AAD11E053A647660A0CF2|2001-02-21|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG363|ASSIGKTG363|188772AEC11AAD11E053A647660A0CF2|2001-03-01|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG353|ASSIGKTG353|188772AEC11AAD11E053A647660A0CF2|2001-03-05|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG354|ASSIGKTG354|188772AEC11AAD11E053A647660A0CF2|2001-03-05|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG355|ASSIGKTG355|188772AEC11AAD11E053A647660A0CF2|2001-03-05|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG356|ASSIGKTG356|188772AEC11AAD11E053A647660A0CF2|2001-03-05|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG357|ASSIGKTG357|188772AEC11AAD11E053A647660A0CF2|2001-03-06|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG358|ASSIGKTG358|188772AEC11AAD11E053A647660A0CF2|2001-03-06|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG360|ASSIGKTG360|188772AEC11AAD11E053A647660A0CF2|2001-03-06|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG361|ASSIGKTG361|188772AEC11AAD11E053A647660A0CF2|2001-03-06|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG359|ASSIGKTG359|188772AEC11AAD11E053A647660A0CF2|2001-03-13|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG362|ASSIGKTG362|188772AEC11AAD11E053A647660A0CF2|2001-03-21|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG365|ASSIGKTG365|188772AEC11AAD11E053A647660A0CF2|2001-03-21|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG364|ASSIGKTG364|188772AEC11AAD11E053A647660A0CF2|2001-03-26|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG366|ASSIGKTG366|188772AEC11AAD11E053A647660A0CF2|2001-03-27|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG367|ASSIGKTG367|188772AEC11AAD11E053A647660A0CF2|2001-04-02|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG372|ASSIGKTG372|188772AEC11AAD11E053A647660A0CF2|2001-04-02|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG374|ASSIGKTG374|188772AEC11AAD11E053A647660A0CF2|2001-04-02|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG368|ASSIGKTG368|188772AEC11AAD11E053A647660A0CF2|2001-04-05|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG369|ASSIGKTG369|188772AEC11AAD11E053A647660A0CF2|2001-04-05|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG380|ASSIGKTG380|188772AEC11AAD11E053A647660A0CF2|2001-04-21|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG370|ASSIGKTG370|188772AEC11AAD11E053A647660A0CF2|2001-04-23|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG371|ASSIGKTG371|188772AEC11AAD11E053A647660A0CF2|2001-04-23|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG373|ASSIGKTG373|188772AEC11AAD11E053A647660A0CF2|2001-04-23|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG47|ASSIGKTG47|188772AEC11AAD11E053A647660A0CF2|2001-05-03|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG375|ASSIGKTG375|188772AEC11AAD11E053A647660A0CF2|2001-05-14|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG376|ASSIGKTG376|188772AEC11AAD11E053A647660A0CF2|2001-05-14|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG377|ASSIGKTG377|188772AEC11AAD11E053A647660A0CF2|2001-05-18|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG378|ASSIGKTG378|188772AEC11AAD11E053A647660A0CF2|2001-05-18|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG379|ASSIGKTG379|188772AEC11AAD11E053A647660A0CF2|2001-05-18|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG381|ASSIGKTG381|188772AEC11AAD11E053A647660A0CF2|2001-05-21|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG382|ASSIGKTG382|188772AEC11AAD11E053A647660A0CF2|2001-05-21|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG383|ASSIGKTG383|188772AEC11AAD11E053A647660A0CF2|2001-06-01|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG384|ASSIGKTG384|188772AEC11AAD11E053A647660A0CF2|2001-06-04|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG386|ASSIGKTG386|188772AEC11AAD11E053A647660A0CF2|2001-06-04|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG385|ASSIGKTG385|188772AEC11AAD11E053A647660A0CF2|2001-06-05|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG387|ASSIGKTG387|188772AEC11AAD11E053A647660A0CF2|2001-06-06|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG388|ASSIGKTG388|188772AEC11AAD11E053A647660A0CF2|2001-06-08|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG389|ASSIGKTG389|188772AEC11AAD11E053A647660A0CF2|2001-06-08|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG390|ASSIGKTG390|188772AEC11AAD11E053A647660A0CF2|2001-06-18|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG391|ASSIGKTG391|188772AEC11AAD11E053A647660A0CF2|2001-06-18|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG392|ASSIGKTG392|188772AEC11AAD11E053A647660A0CF2|2001-06-18|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG423|ASSIGKTG423|188772AEC11AAD11E053A647660A0CF2|2001-06-20|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG424|ASSIGKTG424|188772AEC11AAD11E053A647660A0CF2|2001-06-20|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG399|ASSIGKTG399|188772AEC11AAD11E053A647660A0CF2|2001-06-25|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG393|ASSIGKTG393|188772AEC11AAD11E053A647660A0CF2|2001-06-29|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG394|ASSIGKTG394|188772AEC11AAD11E053A647660A0CF2|2001-07-02|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG395|ASSIGKTG395|188772AEC11AAD11E053A647660A0CF2|2001-07-02|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG396|ASSIGKTG396|188772AEC11AAD11E053A647660A0CF2|2001-07-02|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG397|ASSIGKTG397|188772AEC11AAD11E053A647660A0CF2|2001-07-02|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG398|ASSIGKTG398|188772AEC11AAD11E053A647660A0CF2|2001-07-02|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG400|ASSIGKTG400|188772AEC11AAD11E053A647660A0CF2|2001-07-03|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG401|ASSIGKTG401|188772AEC11AAD11E053A647660A0CF2|2001-07-03|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG402|ASSIGKTG402|188772AEC11AAD11E053A647660A0CF2|2001-07-03|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG426|ASSIGKTG426|188772AEC11AAD11E053A647660A0CF2|2001-07-10|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG404|ASSIGKTG404|188772AEC11AAD11E053A647660A0CF2|2001-07-16|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG405|ASSIGKTG405|188772AEC11AAD11E053A647660A0CF2|2001-07-16|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG406|ASSIGKTG406|188772AEC11AAD11E053A647660A0CF2|2001-07-16|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG407|ASSIGKTG407|188772AEC11AAD11E053A647660A0CF2|2001-07-16|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG410|ASSIGKTG410|188772AEC11AAD11E053A647660A0CF2|2001-07-18|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG408|ASSIGKTG408|188772AEC11AAD11E053A647660A0CF2|2001-07-23|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG411|ASSIGKTG411|188772AEC11AAD11E053A647660A0CF2|2001-08-13|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG425|ASSIGKTG425|188772AEC11AAD11E053A647660A0CF2|2001-08-13|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG412|ASSIGKTG412|188772AEC11AAD11E053A647660A0CF2|2001-08-16|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG413|ASSIGKTG413|188772AEC11AAD11E053A647660A0CF2|2001-08-24|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG414|ASSIGKTG414|188772AEC11AAD11E053A647660A0CF2|2001-09-03|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG415|ASSIGKTG415|188772AEC11AAD11E053A647660A0CF2|2001-09-03|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG416|ASSIGKTG416|188772AEC11AAD11E053A647660A0CF2|2001-09-14|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG417|ASSIGKTG417|188772AEC11AAD11E053A647660A0CF2|2001-09-17|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG418|ASSIGKTG418|188772AEC11AAD11E053A647660A0CF2|2001-09-17|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG420|ASSIGKTG420|188772AEC11AAD11E053A647660A0CF2|2001-09-19|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG419|ASSIGKTG419|188772AEC11AAD11E053A647660A0CF2|2001-09-26|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG421|ASSIGKTG421|188772AEC11AAD11E053A647660A0CF2|2001-10-01|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG422|ASSIGKTG422|188772AEC11AAD11E053A647660A0CF2|2001-10-03|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG427|ASSIGKTG427|188772AEC11AAD11E053A647660A0CF2|2001-10-19|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG428|ASSIGKTG428|188772AEC11AAD11E053A647660A0CF2|2001-12-10|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG429|ASSIGKTG429|188772AEC11AAD11E053A647660A0CF2|2001-12-29|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG430|ASSIGKTG430|188772AEC11AAD11E053A647660A0CF2|2001-12-29|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG431|ASSIGKTG431|188772AEC11AAD11E053A647660A0CF2|2001-12-29|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG432|ASSIGKTG432|188772AEC11AAD11E053A647660A0CF2|2001-12-29|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG433|ASSIGKTG433|188772AEC11AAD11E053A647660A0CF2|2001-12-29|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG434|ASSIGKTG434|188772AEC11AAD11E053A647660A0CF2|2001-12-29|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG436|ASSIGKTG436|188772AEC11AAD11E053A647660A0CF2|2001-12-29|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG438|ASSIGKTG438|188772AEC11AAD11E053A647660A0CF2|2002-01-04|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG435|ASSIGKTG435|188772AEC11AAD11E053A647660A0CF2|2002-01-07|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG437|ASSIGKTG437|188772AEC11AAD11E053A647660A0CF2|2002-01-14|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG439|ASSIGKTG439|188772AEC11AAD11E053A647660A0CF2|2002-01-14|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG441|ASSIGKTG441|188772AEC11AAD11E053A647660A0CF2|2002-01-14|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG440|ASSIGKTG440|188772AEC11AAD11E053A647660A0CF2|2002-01-22|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG442|ASSIGKTG442|188772AEC11AAD11E053A647660A0CF2|2002-01-22|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG443|ASSIGKTG443|188772AEC11AAD11E053A647660A0CF2|2002-02-04|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG535|ASSIGKTG535|188772AEC11AAD11E053A647660A0CF2|2002-03-07|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG447|ASSIGKTG447|188772AEC11AAD11E053A647660A0CF2|2002-03-11|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG448|ASSIGKTG448|188772AEC11AAD11E053A647660A0CF2|2002-03-12|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG449|ASSIGKTG449|188772AEC11AAD11E053A647660A0CF2|2002-03-29|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG450|ASSIGKTG450|188772AEC11AAD11E053A647660A0CF2|2002-04-01|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG451|ASSIGKTG451|188772AEC11AAD11E053A647660A0CF2|2002-04-01|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG452|ASSIGKTG452|188772AEC11AAD11E053A647660A0CF2|2002-04-01|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG453|ASSIGKTG453|188772AEC11AAD11E053A647660A0CF2|2002-04-01|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG454|ASSIGKTG454|188772AEC11AAD11E053A647660A0CF2|2002-04-01|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG457|ASSIGKTG457|188772AEC11AAD11E053A647660A0CF2|2002-04-01|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG458|ASSIGKTG458|188772AEC11AAD11E053A647660A0CF2|2002-04-01|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG459|ASSIGKTG459|188772AEC11AAD11E053A647660A0CF2|2002-04-01|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG460|ASSIGKTG460|188772AEC11AAD11E053A647660A0CF2|2002-04-01|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG468|ASSIGKTG468|188772AEC11AAD11E053A647660A0CF2|2002-04-01|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG471|ASSIGKTG471|188772AEC11AAD11E053A647660A0CF2|2002-04-01|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG473|ASSIGKTG473|188772AEC11AAD11E053A647660A0CF2|2002-04-01|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG477|ASSIGKTG477|188772AEC11AAD11E053A647660A0CF2|2002-04-01|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG456|ASSIGKTG456|188772AEC11AAD11E053A647660A0CF2|2002-04-08|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG461|ASSIGKTG461|188772AEC11AAD11E053A647660A0CF2|2002-04-08|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG463|ASSIGKTG463|188772AEC11AAD11E053A647660A0CF2|2002-04-08|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG465|ASSIGKTG465|188772AEC11AAD11E053A647660A0CF2|2002-04-08|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG466|ASSIGKTG466|188772AEC11AAD11E053A647660A0CF2|2002-04-08|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG467|ASSIGKTG467|188772AEC11AAD11E053A647660A0CF2|2002-04-08|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG462|ASSIGKTG462|188772AEC11AAD11E053A647660A0CF2|2002-04-09|4712-12-31|FTE|1||
|Y|ASG_FTE_PKTG475|ASSIGKTG475|188772AEC11AAD11E053A647660A0CF2|2002-04-09|4712-12-31|FTE|1||
